source,tag,file,dataset,scorer,seed,d_h,layers,label_smooth,batch_size,score_chunk_size,epochs,train_time_s,best_val_mrr,MRR,Hits@1,Hits@3,Hits@10,MR
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\UMLS_d200_L2_ls0.3_RotatE_seed42.json,UMLS,RotatE,42,200,2,0.3,4096,0,300,15.522404670715332,0.8784151471303753,0.855667225619758,78.21482602118003,91.67927382753403,95.61270801815431,3.092284417549168
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\UMLS_d200_L2_ls0.3_RotatE_seed456.json,UMLS,RotatE,456,200,2,0.3,4096,0,300,18.63962197303772,0.8694243010279932,0.8425938181261529,76.85325264750378,91.07413010590015,93.64599092284418,4.302571860816944
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\UMLS_d200_L2_ls0.3_TransE_seed123.json,UMLS,TransE,123,200,2,0.3,4096,0,300,12.942566633224487,0.08732868550164798,0.09070496693221909,0.0,6.656580937972769,31.46747352496218,31.334341906202724
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\UMLS_d200_L2_ls0.3_TransE_seed42.json,UMLS,TransE,42,200,2,0.3,4096,0,300,10.334742546081543,0.10472844237507511,0.10747581163033293,0.0,10.59001512859304,35.854765506807865,30.04841149773071
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\UMLS_d200_L2_ls0.3_TransE_seed456.json,UMLS,TransE,456,200,2,0.3,4096,0,300,10.773386001586914,0.10254425662701587,0.10324187329862505,0.0,10.892586989409985,33.13161875945537,32.48260211800302
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\WN18RR_d200_L2_ls0.3_RotatE_seed123.json,WN18RR,RotatE,123,200,2,0.3,128,2048,300,74314.73621177673,0.5102005360984234,0.49405510856516144,45.88385449904276,50.893426930440334,56.25398851308232,2817.304403318443
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\WN18RR_d200_L2_ls0.3_RotatE_seed42.json,WN18RR,RotatE,42,200,2,0.3,128,2048,300,72816.12430381775,0.5057274127641929,0.49064943962296337,45.373324824505424,50.41480536056159,56.54116145500957,2753.2099553286535
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\WN18RR_d200_L2_ls0.3_RotatE_seed456.json,WN18RR,RotatE,456,200,2,0.3,128,2048,300,80548.3143517971,0.5079654022977746,0.4943361019970874,46.07530312699426,50.638162093171665,55.77536694320357,2778.68506700702
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\WN18RR_d200_L2_ls0.3_TransE_seed123.json,WN18RR,TransE,123,200,2,0.3,128,0,300,12470.170576095581,0.19837134420924069,0.20847214198013833,7.945118059987237,28.14294830887045,46.58583280153159,3053.163050414805
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\WN18RR_d200_L2_ls0.3_TransE_seed42.json,WN18RR,TransE,42,200,2,0.3,128,0,300,11853.050229549408,0.2029177137669393,0.20421098676482635,7.275047862156987,28.844926611359284,45.88385449904276,3101.94671346522
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\WN18RR_d200_L2_ls0.3_TransE_seed456.json,WN18RR,TransE,456,200,2,0.3,128,0,300,13105.492493152618,0.20868736132619387,0.20796674164763068,7.466496490108487,28.334396936821953,47.73452456924059,3029.708040842374
phase3,phase3,C:\Users\13742\Documents\KG\kgc-decoder-audit\phase3\CoDEx-L_d200_L0_ls0.3_seed123.json,CoDEx-L,DistMult,123,200,0,0.3,4096,0,200,1960.48526263237,0.5197046658886413,0.5370978062617181,43.96838874012148,59.14701848344328,72.2911632159885,1106.6707269283522
phase3,phase3,C:\Users\13742\Documents\KG\kgc-decoder-audit\phase3\CoDEx-L_d200_L0_ls0.3_seed42.json,CoDEx-L,DistMult,42,200,0,0.3,4096,0,200,1603.9659223556519,0.512959128210383,0.5336886070980269,43.243419763568674,59.1568153615048,72.47403827313697,805.9073541897982
phase3,phase3,C:\Users\13742\Documents\KG\kgc-decoder-audit\phase3\CoDEx-L_d200_L0_ls0.3_seed456.json,CoDEx-L,DistMult,456,200,0,0.3,4096,0,200,2029.6697261333466,0.517294520864681,0.53625322610907,43.89001371562928,58.96740905231533,72.16053817516817,1141.4070602834563
